product_id,name,description,cost_price,selling_price,category,stock_available,units_sold,customer_rating,demand_forecast,optimized_price
1,Eco-Friendly Water Bottle,"A sustainable, reusable water bottle made from recycled materials.",5.0,12.99,Outdoor & Sports,500,200,4,250,11.5
2,Wireless Earbuds,Bluetooth 5.0 wireless earbuds with noise cancellation and long battery life.,25.0,59.99,Electronics,300,150,5,180,55.0
3,Organic Cotton T-Shirt,"Soft, breathable t-shirt made from 100% organic cotton.",8.0,19.99,Apparel,400,100,4,120,18.5
4,Smart Home Hub,Control all your smart home devices with this central hub.,40.0,99.99,Home Automation,150,75,4,90,95.0
5,Electric Scooter,Lightweight electric scooter with a range of 20 miles.,150.0,299.99,Transportation,80,40,5,50,285.0
6,Noise-Canceling Headphones,Over-ear headphones with active noise cancellation.,50.0,129.99,Electronics,200,90,4,110,125.0
7,Smartwatch,Feature-packed smartwatch with heart rate monitor and GPS.,70.0,149.99,Wearables,250,130,5,160,145.0
8,Portable Solar Charger,Compact solar charger for outdoor use.,20.0,39.99,Outdoor & Sports,300,140,4,170,38.0
9,Fitness Tracker,Wearable fitness tracker with sleep monitoring.,30.0,59.99,Wearables,350,180,4,200,57.0
10,Bluetooth Speaker,Portable Bluetooth speaker with excellent sound quality.,15.0,45.99,Electronics,400,210,4,240,43.0
11,Insulated Hiking Flask,Durable flask to keep drinks hot or cold during hikes.,6.5,14.99,Outdoor & Sports,420,180,4,230,13.5
12,Smart LED Bulb,WiFi-enabled LED bulb controllable via app.,12.0,29.99,Home Automation,260,120,5,140,27.0
13,Yoga Tights,Flexible and breathable yoga tights for workouts.,9.5,24.99,Apparel,370,160,4,180,22.5
14,Foldable Helmet,Compact helmet ideal for scooter riders.,35.0,89.99,Transportation,90,55,4,70,84.0
15,UV Protection Shirt,Lightweight shirt with built-in UV protection.,10.0,25.99,Apparel,300,100,4,120,24.0
16,Wireless Charging Pad,Fast-charging pad compatible with all Qi devices.,18.0,39.99,Electronics,240,130,5,160,36.5
17,GPS Running Watch,Smartwatch with GPS tracking and distance monitor.,60.0,139.99,Wearables,210,125,4,150,130.0
18,LED Camping Lantern,Rechargeable lantern ideal for camping trips.,15.0,35.99,Outdoor & Sports,280,100,4,150,32.0
19,Home Security Camera,Indoor/outdoor security camera with motion detection.,45.0,109.99,Home Automation,130,70,4,85,102.0
20,Foldable Electric Bike,Compact e-bike for urban commuting.,300.0,649.99,Transportation,50,20,5,40,620.0
21,Running Shorts,Moisture-wicking shorts for fitness training.,6.0,17.99,Apparel,380,190,4,220,16.5
22,Wireless Soundbar,Slim soundbar with Bluetooth and HDMI support.,48.0,119.99,Electronics,210,110,5,130,113.0
23,Fitness Smart Ring,Health tracking ring with sleep and step counter.,30.0,74.99,Wearables,190,95,4,115,70.0
24,Waterproof Duffel Bag,Rugged bag for sports and outdoor activities.,25.0,59.99,Outdoor & Sports,240,105,4,130,56.0
25,Smart Light Strip,Color-changing light strip with app control.,14.0,34.99,Home Automation,220,90,4,110,32.5
26,Electric Skateboard,Motorized skateboard with wireless control.,180.0,359.99,Transportation,60,30,5,45,340.0
27,Tech Fleece Hoodie,Warm hoodie with built-in earbud pass-through.,20.0,49.99,Apparel,320,150,4,180,46.0
28,Mini Projector,Portable projector for home and travel use.,55.0,129.99,Electronics,180,85,4,105,125.0
29,Touchscreen Gloves,Winter gloves compatible with smartphones.,7.0,16.99,Apparel,290,120,4,140,15.5
30,Outdoor GPS Device,Handheld GPS tracker for hiking and travel.,50.0,119.99,Outdoor & Sports,110,60,4,80,112.0
31,Smart Door Lock,Keyless smart lock with mobile control.,60.0,149.99,Home Automation,100,50,4,75,140.0
32,Helmet with Visor,Protective helmet with flip-down visor.,32.0,84.99,Transportation,85,40,5,55,80.0
33,Running Tank Top,Breathable tank top for hot weather workouts.,5.0,14.99,Apparel,310,140,4,170,13.5
34,Wireless Keyboard,Compact Bluetooth keyboard with backlight.,18.0,39.99,Electronics,250,130,4,160,38.0
35,Fitness Headband,Moisture-absorbing headband for training.,4.0,9.99,Apparel,330,110,4,130,9.0
36,Outdoor Picnic Blanket, Foldable waterproof picnic mat.,10.0,24.99,Outdoor & Sports,270,100,4,120,23.0
37,Smart Plug,Remote controlled plug with scheduling feature.,11.0,25.99,Home Automation,200,85,4,100,24.0
